01|Митохондрия — двумембранная арганэлла
02|Ана преабразуйет энэргию из арганических саединений в синтетичискую
03|Эта энэргия нужна для работы клетки и роста
04|Митохондрии используют АТФ и химическийе вещества, штобы получить электроны
05|Электроны затем восстановливают энэргию
06|Митохондрии есть у большинства эукариотических клеток
07|Они встречаются и у автотрофов, и у гетеротрофов
08|Митохондрии — это главные электростанции клетки
09|Они вырабатывают АТФ из глюкозы и кислорода
10|Без митохондрий клетка не смогла бы выжить
11|Внутри митохондрий происходит цикл Кребса
12|Цикл Кребса помогает получить энэргию из пищи
13|Митохондрии имеют свою собственную ДНК
14|Эта ДНК передаётся только от матери
15|АТФ — это универсальная «валюта» энэргии
16|Клетка тратит АТФ на деление, рост и транспорт
17|В процессе дыхания образуются свободные радикалы
18|Митохондрии могут сами себя уничтожить — это апоптоз
19|У простейших тоже есть митохондрии, но не у всех
20|Некоторые бактерии похожи на митохондрии
21|Считается, что митохондрии — это бывшие симбионты
22|Они вступили в симбиоз с древней клеткой миллиарды лет назад
23|Химические вещества проникают через мембраны митохондрий
24|Митахондриальный матрикс содержит рибосомы и ДНК
25|Эукариотические клетки характеризуются наличием митахондрий
26|Автотрофные организмы синтезируют органические вещества
27|Гетеротрофы получают энергию из готовых органических соединений
28|Химические превращения происходят в митохондриальном матриксе
29|Электроны перемещаются по дыхательной цепи
30|АТФ синтезируется в процессе окислительного фосфорилирования
31|Митахондриальные мембраны разделяют внутреннее пространство
32|Энергетический обмен происходит в эукариотических клетках
33|Органические соединения расщепляются с выделением энергии
34|Синтетические процессы требуют затрат АТФ
35|Двумембранная структура характерна для митохондрий
36|Восстановительные реакции сопровождаются выделением энергии
37|Химические вещества участвуют в метаболических путях
38|Биосинтетические процессы потребляют клеточную энергию
39|Митахондриальный геном кодирует отдельные белки
40|Окислительно-восстановительные реакции генерируют АТФ
41|Электрон-транспортная цепь создает протонный градиент
42|Биоэнергетические процессы происходят в митохондриях
43|Метаболические пути регулируются клеточными механизмами
44|Синтез макроэнергетических соединений требует энергии
45|Митахондриальные нарушения влияют на клеточный метаболизм
46|Энергетический баланс поддерживается регуляторными системами
47|Органические субстраты окисляются в метаболических циклах
48|Митахондриальные белки импортируются из цитоплазмы
49|Автотрофы гетератрофы автотрофов гетератрофов
50|эукариотических эукариоты Эукариотические
